PhysID,ITM_1,ITM_2,ITM_3,ITM_4,ITM_5,ITM_6,ITM_7
1003002320,GENDER_M,HYDROCODONE,SPCLTY_Dentist,STATE_MS,,,
1003009630,GENDER_M,HYDROCODONE,OXYCODONE,SPCLTY_Emergency Medicine,STATE_NY,,
1003016270,GENDER_M,HYDROCODONE,OXYCODONE,SPCLTY_Family Practice,STATE_CT,TRAMADOL,
1003024894,GENDER_M,HYDROCODONE,OXYCODONE,SPCLTY_Orthopedic Surgery,STATE_OH,TRAMADOL,
1003037979,GENDER_M,HYDROCODONE,SPCLTY_Dentist,STATE_PA,,,
1003038332,GENDER_M,OXYCODONE,SPCLTY_Internal Medicine,STATE_OR,,,
1003042805,GENDER_F,HYDROCODONE,SPCLTY_Family Practice,STATE_GA,TRAMADOL,,
1003043324,GENDER_F,HYDROCODONE,SPCLTY_Family Practice,STATE_TX,TRAMADOL,,
1003043480,GENDER_F,HYDROCODONE,SPCLTY_Nurse Practitioner,STATE_FL,,,
1003043928,GENDER_F,OXYCODONE,SPCLTY_Emergency Medicine,STATE_PA,,,
1003049925,GENDER_F,HYDROCODONE,SPCLTY_Nurse Practitioner,STATE_ID,TRAMADOL,,
1003053554,GENDER_M,SPCLTY_Physician Assistant,STATE_CO,TRAMADOL,,,
1003067059,GENDER_M,SPCLTY_Physician Assistant,STATE_SD,TRAMADOL,,,
1003073784,GENDER_F,OXYCODONE,SPCLTY_Internal Medicine,STATE_NY,,,
1003077058,GENDER_M,HYDROCODONE,SPCLTY_Emergency Medicine,STATE_FL,,,
1003079773,GENDER_M,HYDROCODONE,SPCLTY_Dermatology,STATE_SD,,,
1003083304,GENDER_F,OXYCODONE,SPCLTY_Emergency Medicine,STATE_NC,,,
1003087891,GENDER_M,HYDROCODONE,SPCLTY_Family Practice,STATE_CA,,,
1003088840,GENDER_F,HYDROCODONE,SPCLTY_Family Practice,STATE_CO,,,
1003089905,GENDER_F,HYDROCODONE,SPCLTY_Nurse Practitioner,STATE_WV,TRAMADOL,,
1003090986,GENDER_F,HYDROCODONE,SPCLTY_Infectious Disease,STATE_NH,TRAMADOL,,
1003096587,GENDER_M,SPCLTY_Internal Medicine,STATE_FL,TRAMADOL,,,
1003101411,GENDER_M,HYDROCODONE,SPCLTY_Family Practice,STATE_MI,,,
1003101783,GENDER_M,OXYCODONE,SPCLTY_Internal Medicine,STATE_TX,,,
1003102625,GENDER_F,SPCLTY_Nurse Practitioner,STATE_FL,TRAMADOL,,,
1003110172,GENDER_M,HYDROCODONE,SPCLTY_Physician Assistant,STATE_CO,,,
1003115486,GENDER_M,SPCLTY_Internal Medicine,STATE_MD,TRAMADOL,,,
1003130071,GENDER_F,HYDROCODONE,SPCLTY_Emergency Medicine,STATE_FL,TRAMADOL,,
1003145897,GENDER_F,HYDROCODONE,OXYCODONE,SPCLTY_Physician Assistant,STATE_MD,,
1003157017,GENDER_M,SPCLTY_General Practice,STATE_FL,TRAMADOL,,,
1003179946,GENDER_F,HYDROCODONE,SPCLTY_Nurse Practitioner,STATE_GA,TRAMADOL,,
1003182940,GENDER_F,HYDROCODONE,SPCLTY_Nurse Practitioner,STATE_IL,TRAMADOL,,
1003232489,GENDER_F,HYDROCODONE,SPCLTY_Nurse Practitioner,STATE_IL,TRAMADOL,,
1003242298,GENDER_M,HYDROCODONE,SPCLTY_Physician Assistant,STATE_OH,,,
1003256991,GENDER_F,SPCLTY_Internal Medicine,STATE_NE,TRAMADOL,,,
1003801085,FENTANYL,GENDER_F,HYDROCODONE,OXYCODONE,SPCLTY_Internal Medicine,STATE_MO,TRAMADOL
1003801366,GENDER_M,HYDROCODONE,SPCLTY_General Surgery,STATE_NY,TRAMADOL,,
1003801788,FENTANYL,GENDER_M,HYDROCODONE,OXYCODONE,SPCLTY_Internal Medicine,STATE_TN,TRAMADOL
1003803461,GENDER_M,HYDROCODONE,OXYCODONE,SPCLTY_Family Practice,STATE_AZ,,
1003804519,GENDER_F,HYDROCODONE,SPCLTY_Family Practice,STATE_IL,TRAMADOL,,
1003804642,FENTANYL,GENDER_M,HYDROCODONE,OXYCODONE,SPCLTY_Family Practice,STATE_MI,TRAMADOL
1003806159,FENTANYL,GENDER_M,HYDROCODONE,OXYCODONE,SPCLTY_Family Practice,STATE_OH,TRAMADOL
1003806514,GENDER_M,HYDROCODONE,SPCLTY_Obstetrics/Gynecology,STATE_IL,,,
1003807033,GENDER_M,HYDROCODONE,OXYCODONE,SPCLTY_Family Practice,STATE_OH,TRAMADOL,
1003808296,GENDER_F,HYDROCODONE,SPCLTY_Nurse Practitioner,STATE_NY,,,
1003809542,GENDER_M,HYDROCODONE,OXYCODONE,SPCLTY_Family Practice,STATE_NC,TRAMADOL,
1003809765,GENDER_F,HYDROCODONE,OXYCODONE,SPCLTY_Internal Medicine,STATE_CA,,
1003810540,GENDER_M,HYDROCODONE,OXYCODONE,SPCLTY_Family Practice,STATE_AZ,TRAMADOL,
1003813114,GENDER_M,HYDROCODONE,OXYCODONE,SPCLTY_Internal Medicine,STATE_NC,TRAMADOL,
1003814518,GENDER_M,HYDROCODONE,OXYCODONE,SPCLTY_Internal Medicine,STATE_GA,TRAMADOL,
1003814716,GENDER_M,HYDROCODONE,OXYCODONE,SPCLTY_Neurosurgery,STATE_GA,TRAMADOL,
1003815119,FENTANYL,GENDER_M,HYDROCODONE,OXYCODONE,SPCLTY_Physician Assistant,STATE_KS,TRAMADOL
1003815135,GENDER_M,HYDROCODONE,OXYCODONE,SPCLTY_Emergency Medicine,STATE_MO,,
1003815903,GENDER_M,SPCLTY_Cardiology,STATE_LA,TRAMADOL,,,
1003819657,GENDER_M,HYDROCODONE,SPCLTY_Dentist,STATE_FL,,,
